,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,4251,4310,3126,3935,2185,3619,2102,4523,3242,2073,3338,3188,2228,4295,3980,3296,7637,3321,3940,2999,4783,2144,6212,2377,1271,1279,599,1404,599,1404,599,1593,1770,1567,1567,642,751,751,2731,2731,1582,1461,1582,4311,4311,4297,2687,3363,2687,6956,5836,5707,5905,5587,6956,5331,3797,4132,4304,3878,6851,4286
1,5111,0,7816,6656,5583,4393,5597,4328,5833,5221,3908,446,4752,5758,5604,5339,404,8741,5735,5250,6204,6093,1624,7693,3686,3590,3963,4699,2270,4699,2270,4699,2857,2491,3243,3243,4172,4281,4281,889,889,5112,4991,5112,4632,4632,5607,6216,5489,6216,8934,6156,6027,6301,7573,8934,7309,7326,7661,7810,7408,8529,7791
2,5477,9217,0,1692,5305,5729,3895,5646,5988,5537,6656,8305,5768,4474,6783,4347,8262,6711,4691,5405,4369,6168,7307,9316,6685,6788,6757,6076,6881,6076,6881,6076,6756,6418,5913,5913,4964,4973,4973,7698,7698,3404,3914,3404,9789,9789,5763,4056,4733,4056,6029,9580,11184,9429,7648,6029,5607,1971,1419,570,1161,7218,1091
3,3433,7525,2646,0,3612,4037,2970,3953,5063,4612,5730,6612,4842,2521,5857,3421,6570,6988,2999,4480,2677,5242,5615,8390,5759,4704,4712,4032,4837,4032,4837,4032,5064,4726,4221,4221,3272,3381,3381,6006,6006,2478,2352,2478,7744,7744,4837,2364,3041,2364,6307,8654,9140,8503,6722,6307,4682,716,1052,1293,798,6292,2621
4,3253,5860,5786,4163,0,3857,4778,3773,6260,4914,5010,5296,4859,2538,6299,5230,5371,8797,915,5677,2209,6520,5396,9465,5039,4524,4532,3852,4657,3852,4657,3852,4845,4507,4041,4041,3092,2703,2703,5897,5897,2873,2902,2873,7564,7564,6034,2385,669,2385,8115,9089,8960,9158,8000,8115,6491,4844,5179,5780,4926,8101,5761
5,1862,4923,4529,4218,5026,0,2310,1038,2671,1934,1154,4010,691,3319,2443,2177,3968,5580,4412,2088,4090,2931,2816,5396,1183,1286,1951,1847,2076,1847,2076,1847,2265,3018,2815,2815,1890,1999,1999,3403,3403,2673,2552,2673,4707,4707,2445,3778,4455,3778,5647,5240,6103,5089,4411,5647,4022,5011,5347,4523,5093,5367,4504
6,1959,6209,2219,2996,4992,3264,0,3181,2470,2019,3137,5296,2249,3543,3264,828,5254,4395,4378,1887,4056,2649,4102,5797,3166,3270,3238,2557,3362,2557,3362,2557,3551,3729,3525,3525,2600,2710,2710,4690,4690,2407,2918,2407,6270,6270,2244,3744,4420,3744,3714,6061,7666,5910,4129,3714,2089,2702,3037,2213,2783,3699,2194
7,1791,4460,4905,3180,3988,990,2686,0,3661,2310,2144,3548,1993,2281,3433,3047,3506,6705,3374,3078,3052,3921,2353,6422,2173,1481,1489,809,1614,809,1614,809,1802,1980,1777,1777,852,961,961,2941,2941,1635,1514,1635,4521,4521,3436,2740,3416,2740,6023,6046,5917,6115,5401,6023,4398,3850,4185,4899,3931,5918,4880
8,4220,6611,4971,5748,7511,3328,2752,3262,0,2376,2842,5698,1954,5804,3159,1725,5656,3145,6898,1771,6575,497,4504,3644,2871,2974,3640,4071,3764,4071,3764,4071,3953,3985,5039,5039,4114,4223,4223,5091,5091,5158,5038,5158,6395,6395,504,6263,6940,6263,2891,5665,5992,5514,1976,2891,4071,5454,5789,4965,5535,2933,4946
9,1844,6094,2595,3372,5135,3149,376,3066,2379,0,3022,5182,2134,3429,3174,738,5140,4395,4522,1796,4200,2559,3987,5706,3051,3155,3123,2443,3248,2443,3248,2443,3437,3614,3411,3411,2486,2595,2595,4575,4575,2783,2662,2783,6155,6155,2154,3887,4564,3887,3713,5971,7551,5819,4038,3713,2089,3078,3413,2589,3159,3609,2570
10,3146,4336,5367,4534,5343,1420,3149,1355,3384,2772,0,3423,2303,3636,3156,2890,3381,6293,4729,2801,4407,3644,2229,5073,1238,132,1732,2163,1857,2163,1857,2163,2046,2078,3131,3131,2206,2316,2316,2816,2816,2990,2869,2990,3553,3553,3159,4094,4771,4094,6486,4918,4949,4766,4448,6486,4861,5204,5540,5361,5286,6080,5343
11,5970,2111,8700,7516,5136,6099,6098,6016,6333,5722,4409,0,5253,6617,6105,5840,864,9242,5288,5750,5757,6594,2125,8194,4187,4091,6239,5559,2771,5559,2771,5559,3428,4680,3485,3485,5031,5141,5141,1389,1389,5971,5850,5971,5132,5132,6108,5934,5042,5934,9435,6657,6528,6802,8073,9435,7810,8186,8521,8694,8267,9030,8675
12,3638,4657,4389,4488,5296,1374,2170,1308,2405,1794,888,3744,0,3589,2177,1912,3702,5314,4682,1822,4360,2666,2550,5130,917,1021,1686,2117,1810,2117,1810,2117,1999,2032,3085,3085,2160,2270,2270,3138,3138,2943,2823,2943,4441,4441,2180,4048,4725,4048,5507,4974,5837,4823,4145,5507,3882,4872,5207,4383,4953,5102,4364
13,2418,6326,3859,2236,1707,3021,3564,2938,5425,4079,4175,5762,4024,0,5464,4015,5838,7582,1093,4842,771,5836,4600,8630,4204,3689,3697,3016,3821,3016,3821,3016,4049,3711,3206,3206,2257,2366,2366,4990,4990,1896,1336,1896,6729,6729,5199,459,1135,459,6901,8253,8125,8323,7316,6901,5276,2917,3252,3853,2999,6886,3835
